  1.7630,  1.8485
  2.7870,  2.7266
  2.5500,  2.5119
  2.1370,  2.2356
  0.4110,  0.4551
  3.5610,  3.5923
  1.9450,  2.0783
  3.0990,  3.0731
  3.6530,  3.5294
  1.8710,  1.8903
  2.9620,  2.9318
  1.5720,  1.6173
  1.8690,  1.9582
  1.4980,  1.4823
  2.9270,  2.8596
  1.8820,  1.8449
  2.5840,  2.6547
  3.6780,  3.5634
  1.7740,  1.8304
  0.5720,  0.6074
  2.2320,  2.3249
  2.5460,  2.7631
  2.0450,  2.0622
  2.3110,  2.3466
  1.5590,  1.5524
  0.5250,  0.6132
  1.0820,  1.0807
  2.6400,  2.7161
  2.7550,  2.8317
  2.8400,  2.8079
  0.6360,  0.6541
  1.7080,  1.7567
  1.1770,  1.1582
  0.6410,  0.6732
  3.0270,  3.0117
  0.9650,  1.0231
  0.6560,  0.6469
  1.3160,  1.3747
  1.3660,  1.2428
  1.7920,  1.9377
  1.2700,  1.2852
  2.0290,  1.8899
  1.0560,  1.1538
  1.7800,  1.7265
  0.6070,  0.6453
  3.5570,  3.3473
  2.1760,  2.0979
  1.0810,  1.1135
  1.1160,  1.1190
  3.0350,  3.2708
  4.2160,  4.4483
  0.6280,  0.6744
  3.8840,  3.9545
  4.2320,  4.1414
  4.4750,  4.4362
  2.9810,  3.0597
  1.3280,  1.3614
  2.5400,  2.5280
  0.4230,  0.5101
  2.7500,  2.5953
  2.0930,  2.0316
  0.7320,  0.7633
  0.5650,  0.5943
  0.5410,  0.5614
  0.4700,  0.5072
  1.2260,  1.1982
  3.3190,  3.2015
  2.6910,  2.5440
  0.4000,  0.4714
  1.5830,  1.5832
  1.5420,  1.5645
  0.6950,  0.7535
  0.6340,  0.6416
  0.7840,  0.7951
  1.0990,  1.1083
  1.7090,  1.7068
  2.2830,  2.3389
  3.1830,  2.9881
  0.4380,  0.4652
  1.2550,  1.2070
  1.1970,  1.2763
  3.2610,  3.3649
  0.7220,  0.7409
  1.3930,  1.4032
  1.7040,  1.6160
  0.8780,  0.9005
  3.0310,  3.1004
  2.7000,  2.7641
  0.8220,  0.8089
  0.5550,  0.6066
  1.4090,  1.4117
  2.4940,  2.4359
  1.3660,  1.3929
  2.9930,  2.9616
  1.1710,  1.2380
  2.2560,  2.2972
  0.7700,  0.7951
  1.8790,  1.9568
  1.1110,  1.0888
  0.5010,  0.5413
  0.8900,  0.9212
  3.0740,  3.0359
  3.7110,  3.7803
  0.7090,  0.7003
  3.8970,  3.8336
  0.9230,  0.9300
  1.4310,  1.3606
  4.0420,  3.9107
  1.4540,  1.4384
  0.8510,  0.7810
  1.3640,  1.3453
  0.8250,  0.8285
  1.7330,  1.6604
  1.3910,  1.3763
  0.5270,  0.5342
  1.6200,  1.6659
  1.2520,  1.2076
  4.1230,  4.5774
  1.4110,  1.4295
  1.3530,  1.3418
  1.6410,  1.6690
  2.0130,  2.0140
  0.9330,  0.9495
  1.2800,  1.3175
  3.9140,  3.9277
  1.1570,  1.1296
  0.7510,  0.7793
  3.4210,  3.4876
  1.6510,  1.5900
  0.8820,  0.9473
  0.9800,  1.0465
  1.0610,  1.1015
  0.6680,  0.6938
  4.4420,  4.5823
  1.5580,  1.5016
  1.2540,  1.3367
  2.1990,  2.1128
  1.6080,  1.6195
  1.7900,  1.7306
  2.1260,  2.1068
  1.3640,  1.5337
  0.8680,  0.9145
  0.8980,  0.9231
  1.2490,  1.4302
  2.4950,  2.3671
  2.4340,  2.4413
  4.2650,  4.1361
  2.5290,  2.5221
  2.3090,  2.4950
  1.9820,  1.9631
  0.9550,  0.9968
  0.6510,  0.6641
  4.4010,  4.4233
  1.3710,  1.3049
  2.1650,  2.2609
  0.6960,  0.7390
  1.0840,  1.0943
  1.3050,  1.3481
  1.9710,  1.9878
  3.4730,  3.4014
  3.1740,  3.1297
  1.3320,  1.3417
  1.2310,  1.3010
  0.7440,  0.7409
  3.0500,  3.0887
  1.3350,  1.3915
